Word, suny_c, gutenberg_c, suny_ws, gutenberg_ws, total
|"he'll|, |0|, |0|, |1|, |0|, |1|
|great-aunt|, |1|, |0|, |0|, |0|, |1|
|ever.|, |0|, |0|, |2|, |2|, |4|
|retained|, |1|, |0|, |0|, |0|, |1|
|penetrating|, |1|, |1|, |1|, |1|, |4|
|start|, |2|, |0|, |1|, |0|, |3|
|occupant|, |1|, |1|, |0|, |0|, |2|
|lessons;|, |0|, |0|, |0|, |1|, |1|
|wouldn't--she's|, |0|, |0|, |1|, |0|, |1|
|replied,|, |0|, |0|, |1|, |0|, |1|
|reconsidered|, |1|, |0|, |0|, |0|, |1|
|"Under|, |0|, |0|, |1|, |1|, |2|
|travelling.|, |0|, |0|, |1|, |1|, |2|
|headshake|, |1|, |0|, |0|, |0|, |1|
|when|, |14|, |8|, |13|, |7|, |42|
|little,|, |0|, |0|, |0|, |2|, |2|
|directly|, |1|, |1|, |1|, |1|, |4|
|many-storied|, |1|, |1|, |1|, |1|, |4|
|ignorance|, |1|, |0|, |0|, |0|, |1|
|chill.|, |0|, |0|, |1|, |0|, |1|
|shop."|, |0|, |0|, |1|, |0|, |1|
|shutters|, |1|, |1|, |1|, |1|, |4|
|absorbing|, |1|, |1|, |1|, |1|, |4|
|near|, |4|, |4|, |4|, |4|, |16|
|one.|, |0|, |0|, |1|, |2|, |3|
|words|, |5|, |2|, |3|, |1|, |11|
|more.|, |0|, |0|, |1|, |2|, |3|
|feet.|, |0|, |0|, |0|, |2|, |2|
|cousin,|, |0|, |0|, |2|, |4|, |6|
|couldn't|, |0|, |0|, |11|, |0|, |11|
|added,|, |0|, |0|, |3|, |9|, |12|
|road|, |1|, |1|, |0|, |0|, |2|
|presentiment|, |0|, |1|, |0|, |1|, |2|
|Suddenly|, |1|, |1|, |1|, |1|, |4|
|consciousness--we|, |0|, |0|, |1|, |0|, |1|
|parlance,|, |0|, |0|, |1|, |1|, |2|
|302|, |1|, |0|, |0|, |0|, |1|
|steamer?"|, |0|, |0|, |1|, |1|, |2|
|her--dear|, |0|, |0|, |1|, |0|, |1|
|Angelo.|, |0|, |0|, |1|, |1|, |2|
|attributes.|, |0|, |0|, |1|, |1|, |2|
|events|, |2|, |0|, |2|, |0|, |4|
|appetite|, |1|, |0|, |0|, |0|, |1|
|off,|, |0|, |0|, |1|, |0|, |1|
|Caliph.|, |0|, |0|, |1|, |0|, |1|
|voice,|, |0|, |0|, |0|, |1|, |1|
|"but|, |0|, |0|, |1|, |1|, |2|
|bouk|, |3|, |3|, |0|, |0|, |6|
|gardens|, |1|, |0|, |1|, |0|, |2|
|noticed|, |2|, |3|, |2|, |3|, |10|
|believed|, |0|, |2|, |0|, |2|, |4|
|It's|, |0|, |0|, |7|, |2|, |9|
|interest|, |8|, |2|, |4|, |1|, |15|
|think|, |19|, |14|, |16|, |13|, |62|
|might|, |9|, |2|, |9|, |2|, |22|
|For|, |6|, |4|, |4|, |3|, |17|
|place--that's|, |0|, |0|, |1|, |0|, |1|
|romance.|, |0|, |0|, |0|, |1|, |1|
|participation|, |1|, |0|, |0|, |0|, |1|
|remarked.|, |0|, |0|, |0|, |1|, |1|
|title,|, |0|, |0|, |1|, |0|, |1|
|hall|, |2|, |2|, |0|, |0|, |4|
|else--and|, |0|, |0|, |1|, |0|, |1|
|Hotel|, |1|, |0|, |1|, |0|, |2|
|d'|, |0|, |0|, |2|, |0|, |2|
|THAT|, |3|, |0|, |3|, |0|, |6|
|partook,|, |0|, |0|, |1|, |0|, |1|
|prefer?"|, |0|, |0|, |1|, |1|, |2|
|picture|, |4|, |4|, |0|, |0|, |8|
|That|, |11|, |9|, |4|, |5|, |29|
|finger-tips|, |1|, |0|, |0|, |0|, |1|
|produced|, |1|, |0|, |1|, |0|, |2|
|time."|, |0|, |0|, |6|, |3|, |9|
|gallery|, |1|, |1|, |1|, |1|, |4|
|driving|, |1|, |1|, |1|, |1|, |4|
